 Dimension       Time    Gflop/s           GB/s    Time in the ref solution        Error
        16   0.820092  12.193775  39.020079          0.769898                 0.000000e+00
        64   0.854958  11.697408  37.431706          1.065667                 0.000000e+00
       112   0.861174  11.615637  37.170037          1.175593                 0.000000e+00
       160   1.105465   9.077807  29.048984          1.276960                 0.000000e+00
       208   1.508860   6.679731  21.375140          1.993797                 0.000000e+00
       256   1.267781   7.940119  25.408381          1.460827                 0.000000e+00
       304   1.289115   7.845698  25.106234          1.775745                 0.000000e+00
       352   1.301151   7.709535  24.670513          1.804229                 0.000000e+00
       400   1.208037   8.476565  27.125007          1.448746                 0.000000e+00
       448   2.203574   4.896521  15.668867          3.190615                 0.000000e+00
       496   1.615092   6.799710  21.759071          2.498241                 0.000000e+00
       544   1.248301   9.027664  28.888524          1.742404                 0.000000e+00
       592   1.060206   9.784636  31.310835          1.564961                 0.000000e+00
       640   1.163979   9.008545  28.827343          1.614646                 0.000000e+00
       688   1.763599   7.386277  23.636086          2.078272                 0.000000e+00
       736   1.330978   8.986359  28.756348          3.172832                 0.000000e+00
       784   1.959429   7.378022  23.609672          3.306606                 0.000000e+00
       832   1.161320   9.918549  31.739356          2.094923                 0.000000e+00
       880   1.606636   8.483214  27.146285          2.773986                 0.000000e+00
       928   2.273768   7.029554  22.494574          3.674915                 0.000000e+00
       976   3.616962   5.140857  16.450744          6.518611                 0.000000e+00
      1024   1.456442   7.372365  23.591567          3.222099                 0.000000e+00
      1072   1.546057   7.968173  25.498153          3.855362                 0.000000e+00
      1120   1.678184   8.371717  26.789494          3.530578                 0.000000e+00
      1168   1.785494   8.924218  28.557498          4.060751                 0.000000e+00
      1216   2.389193   7.525744  24.082381          5.344323                 0.000000e+00
      1264   2.133559   9.465349  30.289115          5.670290                 0.000000e+00
      1312   2.478725   9.111151  29.155683          6.087735                 0.000000e+00
      1360   2.981032   8.438205  27.002255          7.656902                 0.000000e+00
      1408   3.046076   9.163624  29.323596          8.205074                 0.000000e+00
      1456   3.324638   9.284100  29.709120          9.733191                 0.000000e+00
      1504   6.370707   5.340180  17.088575         27.369486                 0.000000e+00
      1552   4.171287   8.962003  28.678411         13.911399                 0.000000e+00
      1600   4.739345   8.642544  27.656140         16.989900                 0.000000e+00
      1648   5.411120   8.271504  26.468814         21.173702                 0.000000e+00
      1696   5.408280   9.020246  28.864786         24.978295                 0.000000e+00
      1744   6.649365   7.977361  25.527556         29.468528                 0.000000e+00
      1792   7.769227   7.406895  23.702064         31.350057                 0.000000e+00
      1840   8.036136   7.751865  24.805967         36.245416                 0.000000e+00
      1888   7.872787   8.548255  27.354415         41.063484                 0.000000e+00
      1936   8.475030   8.561992  27.398373         43.816468                 0.000000e+00
      1984  15.452053   5.054042  16.172934        109.801130                 0.000000e+00
